support,itemsets,length
0.15733333333333333,"(np.str_('Cheese'),)",1
0.15633333333333332,"(np.str_('Apple'),)",1
0.15633333333333332,"(np.str_('Tea'),)",1
0.15433333333333332,"(np.str_('Potato'),)",1
0.154,"(np.str_('Chicken'),)",1
0.154,"(np.str_('Shampoo'),)",1
0.15333333333333332,"(np.str_('Soda'),)",1
0.15333333333333332,"(np.str_('Bagel'),)",1
0.15233333333333332,"(np.str_('Cake'),)",1
0.15233333333333332,"(np.str_('Water'),)",1
0.15166666666666667,"(np.str_('Pork'),)",1
0.15166666666666667,"(np.str_('Detergent'),)",1
0.151,"(np.str_('Toilet Paper'),)",1
0.15033333333333335,"(np.str_('Milk'),)",1
0.15,"(np.str_('Toothpaste'),)",1
0.14966666666666667,"(np.str_('Beef'),)",1
0.14933333333333335,"(np.str_('Croissant'),)",1
0.149,"(np.str_('Butter'),)",1
0.14833333333333334,"(np.str_('Orange'),)",1
0.148,"(np.str_('Coffee'),)",1
0.148,"(np.str_('Lettuce'),)",1
0.14633333333333334,"(np.str_('Banana'),)",1
0.14566666666666667,"(np.str_('Carrot'),)",1
0.14533333333333334,"(np.str_('Yogurt'),)",1
0.145,"(np.str_('Fish'),)",1
0.14366666666666666,"(np.str_('Tomato'),)",1
0.14333333333333334,"(np.str_('Soap'),)",1
0.14233333333333334,"(np.str_('Juice'),)",1
0.14166666666666666,"(np.str_('Eggs'),)",1
0.137,"(np.str_('Bread'),)",1
